Company,Valuation,  Valuation $  ,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,  Funding $  ,Select Investors
Ankorstore,$2B,"  $2,000,000,000  ",10/01/2022,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$422M,"  $422,000,000  ","Global Founders Capital, Aglae Ventures, Alven Capital"
4Paradigm,$2B,"  $2,000,000,000  ",19/12/2018,Artificial intelligence,Beijing,China,Asia,2015,$1B,"  $1,000,000,000  ","Sequoia Capital China, China Construction Bank, Bank of China"
Advance Intelligence Group,$2B,"  $2,000,000,000  ",23/09/2021,Artificial intelligence,Singapore,Singapore,Asia,2016,$536M,"  $536,000,000  ","Vision Plus Capital, GSR Ventures, ZhenFund"
Aiven,$2B,"  $2,000,000,000  ",18/10/2021,Internet software & services,Helsinki,Finland,Europe,2016,$210M,"  $210,000,000  ","Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Akulaku,$2B,"  $2,000,000,000  ",15/02/2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,$438M,"  $438,000,000  ","DCM Ventures, IDG Capital, Siam Commercial Bank"
Apeel Sciences,$2B,"  $2,000,000,000  ",26/05/2020,Other,Goleta,United States,North America,2012,$640M,"  $640,000,000  ","Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppsFlyer,$2B,"  $2,000,000,000  ",21/01/2020,Mobile & telecommunications,San Francisco,United States,North America,2011,$293M,"  $293,000,000  ","Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Avant,$2B,"  $2,000,000,000  ",17/12/2012,Artificial intelligence,Chicago,United States,North America,2012,$658M,"  $658,000,000  ","RRE Ventures, Tiger Global, August Capital"
Aviatrix,$2B,"  $2,000,000,000  ",08/09/2021,Internet software & services,Santa Clara,United States,North America,2014,$341M,"  $341,000,000  ","Ignition Partners, Formation 8, CRV"
BlaBlaCar,$2B,"  $2,000,000,000  ",16/09/2015,Auto & transportation,Paris,France,Europe,2006,$449M,"  $449,000,000  ","Accel Partners, Index Ventures, Insight Venture Partners"
Black Sesame Technologies,$2B,"  $2,000,000,000  ",22/09/2021,Artificial intelligence,Shanghai,China,Asia,2016,$115M,"  $115,000,000  ","Northern Light Venture Capital, Xiaomi, FutureX Capital"
Bunq,$2B,"  $2,000,000,000  ",18/06/2021,Fintech,Amsterdam,Netherlands,Europe,2013,$281M,"  $281,000,000  ",Undisclosed
Calm,$2B,"  $2,000,000,000  ",06/02/2019,Consumer & retail,San Francisco,United States,North America,2012,$218M,"  $218,000,000  ","Insight Venture Partners, TPG Growth, Sound Ventures"
Chipper Cash,$2B,"  $2,000,000,000  ",31/05/2021,Fintech,San Francisco,United States,North America,2017,$302M,"  $302,000,000  ","Deciens Capital, Bezos Expeditions, 500 Startups"
Clearco,$2B,"  $2,000,000,000  ",20/04/2021,Fintech,Toronto,Canada,North America,2015,$433M,"  $433,000,000  ","Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
ClickHouse,$2B,"  $2,000,000,000  ",28/10/2021,Data management & analytics,Portola Valley,United States,North America,2021,$300M,"  $300,000,000  ","Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Clip,$2B,"  $2,000,000,000  ",10/06/2021,Fintech,Mexico City,Mexico,North America,2012,$381M,"  $381,000,000  ","Alta Ventures Mexico, General Atlantic, SoftBank Group"
Cloudinary,$2B,"  $2,000,000,000  ",15/02/2022,Internet software & services,Santa Clara,United States,North America,2011,$100M,"  $100,000,000  ","Blackstone, Bessemer Venture Partners"
Deliverr,$2B,"  $2,000,000,000  ",22/11/2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,$456M,"  $456,000,000  ","8VC, Activant Capital, GLP Capital Partners"
Divvy Homes,$2B,"  $2,000,000,000  ",13/08/2021,Fintech,San Francisco,United States,North America,2017,$370M,"  $370,000,000  ","Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Dremio,$2B,"  $2,000,000,000  ",06/01/2021,Data management & analytics,Santa Clara,United States,North America,2015,$410M,"  $410,000,000  ","Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Druva,$2B,"  $2,000,000,000  ",20/06/2019,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,"  $475,000,000  ","Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
Everlaw,$2B,"  $2,000,000,000  ",10/03/2020,Internet software & services,Oakland,United States,North America,2010,$299M,"  $299,000,000  ","K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Exotec,$2B,"  $2,000,000,000  ",17/01/2022,Hardware,Croix,France,Europe,2015,$450M,"  $450,000,000  ","Breega Capital, Iris Capital, 360 Capital Partners"
Formlabs,$2B,"  $2,000,000,000  ",01/08/2018,Hardware,Somerville,United States,North America,2011,$251M,"  $251,000,000  ","Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Guoquan Shihui,$2B,"  $2,000,000,000  ",17/03/2021,Consumer & retail,Shanghai,China,Asia,2017,$523M,"  $523,000,000  ","Tiantu Capital, CMB International Capital, Vision Knight Capital"
Hive,$2B,"  $2,000,000,000  ",21/04/2021,Artificial intelligence,San Francisco,United States,North America,2013,$121M,"  $121,000,000  ","Tomales Bay Capital, Bain & Company, General Catalyst"
HuiMin,$2B,"  $2,000,000,000  ",05/09/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,"  $517,000,000  ","Zheshang Venture Capital, GP Capital, Western Capital Management"
ISN,$2B,"  $2,000,000,000  ",17/12/2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,#VALUE!,Blackstone
Iterable,$2B,"  $2,000,000,000  ",15/06/2021,Internet software & services,San Francisco,United States,North America,2013,$342M,"  $342,000,000  ","CRV, Blue Cloud Ventures, Index Ventures"
Kajabi,$2B,"  $2,000,000,000  ",04/05/2021,Internet software & services,Irvine,United States,North America,2010,$550M,"  $550,000,000  ","Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Kaseya,$2B,"  $2,000,000,000  ",27/03/2019,Cybersecurity,Miami,United States,North America,2000,$545M,"  $545,000,000  ","Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Keep,$2B,"  $2,000,000,000  ",19/05/2020,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,"  $614,000,000  ","Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
KRY,$2B,"  $2,000,000,000  ",27/04/2021,Health,Stockholm,Sweden,Europe,2014,$569M,"  $569,000,000  ","Index Ventures, Creandum, Accel"
Loggi,$2B,"  $2,000,000,000  ",05/06/2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,"  $507,000,000  ","Qualcomm Ventures, SoftBank Group, Monashees+"
LTK,$2B,"  $2,000,000,000  ",22/11/2021,Internet software & services,Dallas,United States,North America,2011,$315M,"  $315,000,000  ","SoftBank Group, Maverick Capital"
Lunar,$2B,"  $2,000,000,000  ",12/07/2021,Fintech,Aarhus,Denmark,Europe,2015,$448M,"  $448,000,000  ","SEED Capital, Greyhound Capital, Socii Capital"
Mafengwo,$2B,"  $2,000,000,000  ",23/05/2019,Travel,Beijing,China,Asia,2010,$503M,"  $503,000,000  ","Qiming Venture Partners, Capital Today, General Atlantic"
Magic Leap,$2B,"  $2,000,000,000  ",21/10/2014,Hardware,Plantation,United States,North America,2010,$3B,"  $3,000,000,000  ","Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Misfits Market,$2B,"  $2,000,000,000  ",21/04/2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,"  $527,000,000  ","Accel, D1 Capita Partners, Greenoaks Capital Management"
Modern Treasury,$2B,"  $2,000,000,000  ",06/10/2021,Fintech,San Francisco,United States,North America,2018,$183M,"  $183,000,000  ","Benchmark, Altimeter Capital, Quiet Capital"
MURAL,$2B,"  $2,000,000,000  ",20/07/2021,Internet software & services,San Francisco,United States,North America,2011,$192M,"  $192,000,000  ","Insight Partners, Tiger Global Management, Gradient Ventures"
Mynt,$2B,"  $2,000,000,000  ",01/11/2021,Fintech,Taguig City,Philippines,Asia,2015,$475M,"  $475,000,000  ","Insight Partners, Warburg Pincus, Ayala Corporation"
Neo4j,$2B,"  $2,000,000,000  ",17/06/2021,Data management & analytics,San Mateo,United States,North America,2007,$408M,"  $408,000,000  ","Eight Roads Ventures, One Peak Partners, Creandum"
Netlify,$2B,"  $2,000,000,000  ",17/11/2021,Internet software & services,San Francisco,United States,North America,2014,$202M,"  $202,000,000  ","Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
OCSiAl,$2B,"  $2,000,000,000  ",04/03/2019,Other,Leudelange,Luxembourg,Europe,2012,$285M,"  $285,000,000  ","A&NN, Rusnano"
Opay,$2B,"  $2,000,000,000  ",23/08/2021,Fintech,Lagos,Nigeria,Africa,2018,$570M,"  $570,000,000  ","Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
Pipe,$2B,"  $2,000,000,000  ",19/05/2021,Fintech,Miami,United States,North America,2019,$566M,"  $566,000,000  ","next47, MaC Venture Capital, FinVC"
Preferred Networks,$2B,"  $2,000,000,000  ",17/05/2018,Artificial intelligence,Tokyo,Japan,Asia,2014,$147M,"  $147,000,000  ","Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Quora,$2B,"  $2,000,000,000  ",21/04/2017,Internet software & services,Mountain View,United States,North America,2009,$226M,"  $226,000,000  ","Y Combinator, Matrix Partners, Benchmark"
Redis Labs,$2B,"  $2,000,000,000  ",25/08/2020,Data management & analytics,Mountain View,United States,North America,2011,$356M,"  $356,000,000  ","Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
SmartNews,$2B,"  $2,000,000,000  ",05/08/2019,Mobile & telecommunications,Tokyo,Japan,Asia,2012,$410M,"  $410,000,000  ","Japan Post Capital, Globis Capital Partners, Atomico"
Spring Health,$2B,"  $2,000,000,000  ",16/09/2021,Health,New York,United States,North America,2016,$296M,"  $296,000,000  ","Rethink Impact, Work-Bench, RRE Ventures"
StarkWare,$2B,"  $2,000,000,000  ",17/11/2021,Cybersecurity,Netanya,Israel,Asia,2018,$161M,"  $161,000,000  ","Sequoia Capital, Paradigm, Pantera Capital"
SWORD Health,$2B,"  $2,000,000,000  ",22/11/2021,Health,New York,United States,North America,2015,$296M,"  $296,000,000  ","Khosla Ventures, Green Innovations, Founders Fund"
Tier,$2B,"  $2,000,000,000  ",25/10/2021,Travel,Berlin,Germany,Europe,2018,$587M,"  $587,000,000  ","Northzone Ventures, White Star Capital, Novator Partners"
Trendy Group International,$2B,"  $2,000,000,000  ",13/02/2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,$200M,"  $200,000,000  ",L Capital Partners
Unqork,$2B,"  $2,000,000,000  ",06/10/2020,Fintech,New York,United States,North America,2017,$365M,"  $365,000,000  ","Blackrock, capitalG, World Lab Innovation"
VerbIT,$2B,"  $2,000,000,000  ",08/06/2021,Artificial intelligence,New York,United States,North America,2016,$432M,"  $432,000,000  ","ClalTech, Vertex Ventures, Oryzn Capital"
Virta Health,$2B,"  $2,000,000,000  ",02/12/2020,Health,San Francisco,United States,North America,2015,$373M,"  $373,000,000  ","Caffeinated Capital, Obvious Ventures, Venrock"
Xinchao Media,$2B,"  $2,000,000,000  ",09/04/2018,Internet software & services,Chengdu,China,Asia,2007,$768M,"  $768,000,000  ","JD.com, Baidu, Vision Plus Capital"
Xingyun Group,$2B,"  $2,000,000,000  ",24/09/2020,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,$950M,"  $950,000,000  ","Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
XtalPi,$2B,"  $2,000,000,000  ",11/08/2021,Artificial intelligence,Shenzhen,China,Asia,2014,$786M,"  $786,000,000  ","Tencent Holdings, 5Y Capital, Sequoia Capital China"
Zilch,$2B,"  $2,000,000,000  ",10/11/2021,Fintech,London,United Kingdom,Europe,2018,$339M,"  $339,000,000  ","Gauss Ventures, Ventura Capital, dmg ventures"
56PINGTAI,$1B,"  $1,000,000,000  ",25/01/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,$188M,"  $188,000,000  ","QF Capital, QC Capital, Unicom Innovation Venture Capital"
Alzheon,$1B,"  $1,000,000,000  ",30/09/2020,Health,Framingham,United States,North America,2013,$94M,"  $94,000,000  ","ARCH Venture Partners, Ally Bridge Group"
Aprogen,$1B,"  $1,000,000,000  ",31/05/2019,Health,Seongnam-Si,South Korea,Asia,2000,$62M,"  $62,000,000  ","Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Axtria,$1B,"  $1,000,000,000  ",13/05/2021,Data management & analytics,Berkeley Heights,United States,North America,2009,$206M,"  $206,000,000  ","Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
Cell C,$1B,"  $1,000,000,000  ",07/08/2017,Mobile & telecommunications,Midrand,South Africa,Africa,2000,$547M,"  $547,000,000  ","Blue Label Telecoms, Net1 UEPS Technologies"
China Cloud,$1B,"  $1,000,000,000  ",11/06/2018,Hardware,Wuxi,China,Asia,2010,$523M,"  $523,000,000  ","V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
CredAvenue,$1B,"  $1,000,000,000  ",07/03/2022,Fintech,Chennai,India,Asia,2017,$227M,"  $227,000,000  ","Insight Partners, B Capital Group, Lightspeed Venture Partners"
DeepBlue Technology,$1B,"  $1,000,000,000  ",16/04/2018,Artificial intelligence,Shanghai,China,Asia,2014,$79M,"  $79,000,000  ","DESUN Capital, Yunfeng Capital, Meridian Capital"
dMed Biopharmaceutical,$1B,"  $1,000,000,000  ",12/07/2021,Health,Shanghai,China,Asia,2016,$214M,"  $214,000,000  ","Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
Einride,$1B,"  $1,000,000,000  ",31/12/2021,Auto & transportation,Stockholm,Sweden,Europe,2016,$151M,"  $151,000,000  ","Temasek, BUILD Capital Partners, Northzone Ventures"
EQRx,$1B,"  $1,000,000,000  ",11/01/2021,Health,Cambridge,United States,North America,2020,$700M,"  $700,000,000  ","Nextech Invest, Casdin Capital, Google Ventures"
Everly Health,$1B,"  $1,000,000,000  ",03/12/2020,E-commerce & direct-to-consumer,Austin,United States,North America,2015,$231M,"  $231,000,000  ","Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
Fair,$1B,"  $1,000,000,000  ",20/12/2018,Auto & transportation,Santa Monica,United States,North America,2016,$2B,"  $2,000,000,000  ","CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Flipboard,$1B,"  $1,000,000,000  ",22/07/2015,Internet software & services,Palo Alto,United States,North America,2010,$211M,"  $211,000,000  ","Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Globality,$1B,"  $1,000,000,000  ",22/01/2019,Artificial intelligence,Menlo Park,United States,North America,2015,$310M,"  $310,000,000  ",SoftBank Group
Hosjoy,$1B,"  $1,000,000,000  ",18/10/2018,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,$139M,"  $139,000,000  ","U.S.-China Green Fund, Founder H Fund, Richland Equities"
Huisuanzhang,$1B,"  $1,000,000,000  ",24/05/2021,Fintech,Beijing,China,Asia,2015,$227M,"  $227,000,000  ","IDG Capital, Gaocheng Capital, Chuanrong Capital"
HuJiang,$1B,"  $1,000,000,000  ",29/10/2015,Edtech,Shanghai,China,Asia,2001,$223M,"  $223,000,000  ","China Minsheng Investment, Baidu, Wanxin Media"
Hyperchain,$1B,"  $1,000,000,000  ",11/04/2021,Fintech,Hangzhou,China,Asia,2016,$249M,"  $249,000,000  ","Yinhong Equity Investment Fund, E Fund, Ideal International"
iTutorGroup,$1B,"  $1,000,000,000  ",18/11/2015,Edtech,Shanghai,China,Asia,1998,$315M,"  $315,000,000  ","QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
JimuBox,$1B,"  $1,000,000,000  ",21/04/2015,Fintech,Beijing,China,Asia,2013,$131M,"  $131,000,000  ","Matrix Partners China, Ventech China, Shunwei Capital Partners"
Juma Peisong,$1B,"  $1,000,000,000  ",26/11/2018,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,$281M,"  $281,000,000  ","Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
Justworks,$1B,"  $1,000,000,000  ",28/01/2020,Internet software & services,New York,United States,North America,2012,$143M,"  $143,000,000  ","Index Ventures, Thrive Capital, Bain Capital Ventures"
Keenon Robotics,$1B,"  $1,000,000,000  ",15/09/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,$229M,"  $229,000,000  ","Yunqi Partners, SoftBank Group, iVision Ventures"
Kuaigou Dache,$1B,"  $1,000,000,000  ",13/07/2018,"Supply chain, logistics, & delivery",Tianjin,China,Asia,2014,$650M,"  $650,000,000  ","Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds"
LifeMiles,$1B,"  $1,000,000,000  ",13/07/2015,Other,Bogota,Colombia,South America,2011,$344M,"  $344,000,000  ",Advent International
LinkSure Network,$1B,"  $1,000,000,000  ",01/01/2015,Mobile & telecommunications,Shanghai,China,Asia,2013,$52M,"  $52,000,000  ",N/A
MobiKwik,$1B,"  $1,000,000,000  ",13/10/2021,Fintech,Gurugram,India,Asia,2009,$249M,"  $249,000,000  ","Sequoia Capital India, The Times Group, GMO VenturePartners"
Modernizing Medicine,$1B,"  $1,000,000,000  ",10/05/2017,Health,Boca Raton,United States,North America,2010,$394M,"  $394,000,000  ","Warburg Pincus, Summit Partners, Sands Capital"
OVH,$1B,"  $1,000,000,000  ",15/08/2016,Other,Roubaix,France,Europe,1999,$1B,"  $1,000,000,000  ","KKR, TowerBrook Capital Partners"
Phenom People,$1B,"  $1,000,000,000  ",07/04/2021,Internet software & services,Ambler,United States,North America,2011,$163M,"  $163,000,000  ","Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
Pipa Coding,$1B,"  $1,000,000,000  ",25/03/2021,Edtech,Beijing,China,Asia,2017,$268M,"  $268,000,000  ","Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
Qingting FM,$1B,"  $1,000,000,000  ",02/06/2021,Internet software & services,Shanghai,China,Asia,2011,$164M,"  $164,000,000  ","China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
Rad Power Bikes,$1B,"  $1,000,000,000  ",28/10/2021,Auto & transportation,Seattle,United States,North America,2007,$329M,"  $329,000,000  ","Durable Capital Partners, Cercano Management, T. Rowe Price"
Shukun Technology,$1B,"  $1,000,000,000  ",16/08/2021,Artificial Intelligence,Beijing,China,Asia,2017,$211M,"  $211,000,000  ","Marathon Venture Partners, Huagai Capital, China Creation Ventures"
Shulan Health,$1B,"  $1,000,000,000  ",01/03/2021,Health,Hangzhou,China,Asia,2015,$43M,"  $43,000,000  ",Qiming Venture Partners
SITECH DEV,$1B,"  $1,000,000,000  ",16/05/2019,Other,Guiyang,China,Asia,2017,Unknown,#VALUE!,China Prosperity Capital
Snapdeal,$1B,"  $1,000,000,000  ",21/05/2014,E-commerce & direct-to-consumer,New Delhi,India,Asia,2008,$2B,"  $2,000,000,000  ","SoftBankGroup, Blackrock, Alibaba Group"
SumUp,$1B,"  $1,000,000,000  ",16/07/2019,Fintech,London,United Kingdom,Europe,2011,$1B,"  $1,000,000,000  ","American Express Ventures, Goldman Sachs, Bain Capital Credit"
TalkingData,$1B,"  $1,000,000,000  ",06/01/2021,Mobile & telecommunications,Beijing,China,Asia,2013,$310M,"  $310,000,000  ","N5 Capital, CR Capital Mgmt, JD Digits"
TUNGEE,$1B,"  $1,000,000,000  ",15/12/2021,Artificial Intelligence,Guangzhou,China,Asia,2016,$171M,"  $171,000,000  ","UNITY VENTURES, Qiming Venture Partners, GGV Capital"
UISEE Technology,$1B,"  $1,000,000,000  ",25/01/2021,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,$154M,"  $154,000,000  ","Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
Valgen Medtech,$1B,"  $1,000,000,000  ",06/05/2021,Health,Hangzhou,China,Asia,2015,$188M,"  $188,000,000  ","Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
Vectra Networks,$1B,"  $1,000,000,000  ",29/04/2021,Artificial intelligence,San Jose,United States,North America,2011,$352M,"  $352,000,000  ","IA Ventures, Khosla Ventures, AME Cloud Ventures"
Venafi,$1B,"  $1,000,000,000  ",10/12/2020,Cybersecurity,Salt Lake City,United States,North America,2000,$174M,"  $174,000,000  ","Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Wacai,$1B,"  $1,000,000,000  ",18/07/2018,Mobile & telecommunications,Hangzhou,China,Asia,2009,$369M,"  $369,000,000  ","Qiming Venture Partners, China Broadband Capital, CDH Investments"
WeBull,$1B,"  $1,000,000,000  ",18/02/2021,Fintech,Changsha,China,Asia,2016,$230M,"  $230,000,000  ","Bojiang Capital, Hongdao Capital, Mobai Capital"
WTOIP,$1B,"  $1,000,000,000  ",08/04/2018,Internet software & services,Guangzhou,China,Asia,2013,$307M,"  $307,000,000  ","Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Xiaobing,$1B,"  $1,000,000,000  ",12/07/2021,Fintech,Beijing,China,Asia,2020,Unknown,#VALUE!,"NetEase Capital, Northern Light Venture Capital, Microsoft"
Xiaoe Tech,$1B,"  $1,000,000,000  ",15/06/2021,Internet software & services,Shenzhen,China,Asia,2015,$149M,"  $149,000,000  ","GGV Capital, Hillhouse Capital Management, IDG Capital"
Yiguo,$1B,"  $1,000,000,000  ",09/11/2016,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2005,$800M,"  $800,000,000  ","Alibaba Group, KKR, Goldman Sachs"
Yimidida,$1B,"  $1,000,000,000  ",14/01/2019,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$554M,"  $554,000,000  ","Source Code Capital, Global Logistic Properties, K2VC"
Yipin Shengxian,$1B,"  $1,000,000,000  ",11/03/2019,E-commerce & direct-to-consumer,Hefei,China,Asia,2017,$658M,"  $658,000,000  ","Eastern Bell Capital, Capital Today, Longzhu Capital"
Ynsect,$1B,"  $1,000,000,000  ",21/02/2019,Other,Evry,France,Europe,2011,$393M,"  $393,000,000  ","Astanor Ventures, Upfront Ventures, IDInvest Partners"
Hello TransTech,$1B,"  $1,000,000,000  ",01/06/2018,Auto & transportation,Shanghai,China,Asia,2016,$2B,"  $2,000,000,000  ","Ant Financial Services Group, GGV Capital"
Miaoshou Doctor,$1B,"  $1,000,000,000  ",27/06/2019,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$947M,"  $947,000,000  ","Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
ECARX,$1B,"  $1,000,000,000  ",26/10/2020,Auto & transportation,Wuhan,China,Asia,2016,$394M,"  $394,000,000  ","Geely, SIG Asia Investments, China State Capital Venture Capital Fund"
Eat Just,$1B,"  $1,000,000,000  ",30/11/2017,Consumer & retail,San Francisco,United States,North America,2011,$440M,"  $440,000,000  ","Khosla Ventures, Horizons Ventures, Founders Fund"
Trumid,$1B,"  $1,000,000,000  ",15/07/2020,Fintech,New York,United States,North America,2014,$660M,"  $660,000,000  ","T. Rowe Price, Dragoneer Investment Group, BlackRock"
Qualia,$1B,"  $1,000,000,000  ",21/12/2020,Fintech,San Francisco,United States,North America,2015,$160M,"  $160,000,000  ","8VC, Menlo Ventures, Tiger Global Management"
Beisen,$1B,"  $1,000,000,000  ",11/05/2021,Internet software & services,Beijing,China,Asia,2002,$388M,"  $388,000,000  ","Matrix Partners China, Sequoia Capital China, Genesis Capital"
Earnix,$1B,"  $1,000,000,000  ",21/02/2021,Fintech,Giv'atayim,Israel,Asia,2001,$98M,"  $98,000,000  ","Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
Kujiale,$1B,"  $1,000,000,000  ",25/10/2019,Internet software & services,Hangzhou,China,Asia,2011,$235M,"  $235,000,000  ","GGV Capital, IDG Capital, Linear Venture"
Orca Security,$1B,"  $1,000,000,000  ",23/03/2021,Cybersecurity,Portland,United States,North America,2019,$632M,"  $632,000,000  ","YL Ventures, Redpoint Ventures, GGV Capital"
Apus Group,$1B,"  $1,000,000,000  ",16/01/2015,Mobile & telecommunications,Beijing,China,Asia,2014,$116M,"  $116,000,000  ","Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Forte Labs,$1B,"  $1,000,000,000  ",12/05/2021,Fintech,San Francisco,United States,North America,2018,$910M,"  $910,000,000  ","Iris Capital, Accel, Elaia Partners"
CureFit,$1B,"  $1,000,000,000  ",10/11/2021,Health,Bengaluru,India,Asia,2016,$665M,"  $665,000,000  ","Chiratae Ventures, Accel, Kalaari Capital"
DT Dream,$1B,"  $1,000,000,000  ",08/06/2017,Data management & analytics,Hangzhou,China,Asia,2015,$267M,"  $267,000,000  ","Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
fabric,$1B,"  $1,000,000,000  ",24/02/2022,E-commerce & direct-to-consumer,Bellevue,United States,North America,2017,$294M,"  $294,000,000  ","Redpoint Ventures, Norwest Venture Partners, Sierra Ventures"
JOLLY Information Technology,$1B,"  $1,000,000,000  ",29/05/2018,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,$96M,"  $96,000,000  ","Legend Capital, CDH Investments, Sequoia Capital China"
K Health,$1B,"  $1,000,000,000  ",19/01/2021,Health,New York,United States,North America,2016,$271M,"  $271,000,000  ","Max Ventures, Mangrove Capital Partners, 14W"
Mofang Living,$1B,"  $1,000,000,000  ",13/04/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2009,$650M,"  $650,000,000  ","Warburg Pincus, Aviation Industry Corporation of China"
Spendesk,$1B,"  $1,000,000,000  ",18/01/2022,Fintech,Paris,France,Europe,2015,$314M,"  $314,000,000  ","Index Ventures, Eight Roads Ventures, General Atlantic"
TaxBit,$1B,"  $1,000,000,000  ",04/08/2021,Fintech,Draper,United States,North America,2018,$236M,"  $236,000,000  ","Insight Partners, Coinbase Ventures, PayPal Ventures"
XiaoZhu,$1B,"  $1,000,000,000  ",01/11/2017,Travel,Beijing,China,Asia,2012,$572M,"  $572,000,000  ","Morningside Ventures, Capital Today, JOY Capital"
Yijiupi,$1B,"  $1,000,000,000  ",20/09/2018,Consumer & retail,Beijing,China,Asia,2014,$511M,"  $511,000,000  ","Source Code Capital, Meituan Dianping, Tencent Holdings"
YunQuNa,$1B,"  $1,000,000,000  ",29/06/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$207M,"  $207,000,000  ","Source Code Capital, Coatue Management, DCM Ventures"
Bordrin Motors,$1B,"  $1,000,000,000  ",03/06/2019,Auto & transportation,Shanghai,China,Asia,2016,$362M,"  $362,000,000  ","China Grand Prosperity Investment, CSC Group"
Aleo,$1B,"  $1,000,000,000  ",07/02/2022,Cybersecurity,San Francisco,United States,North America,2019,$228M,"  $228,000,000  ","Slow Ventures, Andreessen Horowitz, SoftBank Group"
Coocaa,$1B,"  $1,000,000,000  ",16/03/2018,Hardware,Shenzhen,China,Asia,2006,$218M,"  $218,000,000  ","Baidu, Tencent Holdings"
Gymshark,$1B,"  $1,000,000,000  ",14/08/2020,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,$262M,"  $262,000,000  ",General Atlantic
M1 Finance,$1B,"  $1,000,000,000  ",14/07/2021,Fintech,Chicago,United States,North America,2015,$323M,"  $323,000,000  ","Left Lane Capital, Clocktower Technology Ventures, Jump Capital"
Ouyeel,$1B,"  $1,000,000,000  ",27/06/2019,Internet software & services,Shanghai,China,Asia,2015,$432M,"  $432,000,000  ",Taigang Venture Capital
